,Title,Ingredients,Photo
10,Cookbook:Ají de Gallina (Peruvian Chili Chicken),"['1300 g (4 lb ) chicken', '120 ml (½ cup ) of olive oil', '1 large finely chopped onion', '8 cloves of minced garlic', '3 hot yellow South American chilis (seeds and filaments removed): Adjust quantity for individual taste.', 'Salt and pepper to taste', '1 chicken stock cube', '¼ loaf of bread', '110 g (¼ lb) of chopped pecans', '110 g (4 ounces ) grated Parmesan cheese', '1 can of evaporated milk', '1.6 kg (3.5 lbs) boiled rice (flavored with chopped garlic and salt)', '4 hard boiled eggs', '6 potatoes', '120 g (½ cup) black olives']",https://en.wikibooks.org/wiki/Special:FilePath/Aj%C3%AD_de_gallina_%28gourmet%29-b.jpg?width=1000
11,Cookbook:Akamu (Nigerian Pudding),"['Akamu paste , broken into lumps', 'Hot water', 'Evaporated milk', 'Sugar']",https://en.wikibooks.org/wiki/Special:FilePath/Akamu_%28Pap%29_%28Ogi%29_%28cropped%29.jpg?width=1000
12,Cookbook:Algerian Coca,"['500 g (4 cups ) all-purpose flour', '1 teaspoon salt', '1 tablespoon sugar', '1 packet (7 g) active dry yeast', '250 ml (1 cup) warm water', '3 tablespoons olive oil', '2 large onions , thinly sliced', '2 large tomatoes , thinly sliced', '1 bell pepper , thinly sliced', '2–3 cloves garlic , minced', '2 tablespoons olive oil', '1 teaspoon paprika', '1 teaspoon ground cumin', 'Salt and pepper to taste', 'Black olives , whole or sliced', 'Chopped fresh parsley (optional)']",https://en.wikibooks.org/wiki/Special:FilePath/Coca_argelina.jpg?width=1000
13,Cookbook:Algerian Couscous with Meat and Vegetables,"['500 g (about 2½ cups ) fine or medium couscous', '2 tablespoons olive oil', '500 ml (2 cups) warm water', '250 ml (1 cup) water mixed with 1 teaspoon salt', '500 g (1 lb ) lamb , chicken , or beef , cut into chunks', '2 large onions , finely chopped', '3 cloves garlic , minced', '2 tablespoons tomato paste', '2 tablespoons olive oil', '1 teaspoon ground cumin', '1 teaspoon ground coriander', '1 teaspoon paprika', '½ teaspoon ground turmeric', '½ teaspoon cinnamon (optional, for a hint of sweetness)', '1.5 liters (6 cups) water or broth', 'Salt and pepper to taste', '2 carrots , peeled and cut into chunks', '2 zucchini , cut into chunks', '2 potatoes , peeled and cut into chunks', '1 turnip , peeled and cut into chunks', '1 cup pumpkin or other hard squash , cut into chunks', '1 cup cooked chickpeas (canned or pre-cooked)', '1 green bell pepper , cut into chunks']",https://en.wikibooks.org/wiki/Special:FilePath/Couscous_%28Alg%C3%A9rie%2C_lieu_exact_non_pr%C3%A9cis%C3%A9%29.jpg?width=1000
14,Cookbook:Algerian Mint Tea,"['2 tsp of dried green tea (optional)', '1 bunch of fresh mint leaves', '10 sugar cubes (optional)', 'Water']",https://en.wikibooks.org/wiki/Special:FilePath/Tea_in_sahara%28algerian_desert%29.jpg?width=1000
15,Cookbook:Alkubus (Nigerian Steamed Bread),"['2 cups wheat flour', '1 teaspoon instant yeast', '½ teaspoon salt', '1 teaspoon baking powder', '½ cup water', '2 teaspoons vegetable oil']",https://en.wikibooks.org/wiki/Special:FilePath/10_Steamed_Bread_-_Congee_Village_House.jpg?width=1000
16,Cookbook:Almond Milk II,"['1 cup (236 ml ) almonds', '3 cups (708 mL) pure water , such as rosewater , orange blossom water, spring water, distilled water, or iodized water', '3 dates']",https://en.wikibooks.org/wiki/Special:FilePath/Raw_almond_milk.jpg?width=1000
17,Cookbook:Amala (Yoruba Yam Swallow),"['1 liter water', '2 milk tins of yam flour']",https://en.wikibooks.org/wiki/Special:FilePath/Amala%2C_ewedu_and_assorted_meat.jpg?width=1000
18,Cookbook:Amala Ọgẹdẹ (Nigerian Plantain Fufu),"['Plantain flour', 'Water']",https://en.wikibooks.org/wiki/Special:FilePath/Amala_and_ewedu_with_gbegiri_soup.jpg?width=1000
19,Cookbook:Ambrosia Fruit Salad,"['4 cups of mandarin oranges , drained', '2 cans of pineapple , drained', '2 cups of grapes', '3 cups whipped cream', '1 cup sour cream', '6–8 cups miniature marshmallows']",https://en.wikibooks.org/wiki/Special:FilePath/Ambrosia_salad.jpg?width=1000
20,Cookbook:Anzac Biscuits I,"['2 cups plain (non-self raising) flour', '1 cup white or brown sugar', '2 cups rolled or instant oats', '1 cup desiccated coconut flakes', '4 tablespoons golden syrup , corn syrup , or honey', '225 grams butter or margarine', '1 teaspoon baking soda', '2 tablespoons of water']",https://en.wikibooks.org/wiki/Special:FilePath/Single_ANZAC_biscuit.jpg?width=1000
21,Cookbook:Appam (Fermented Rice Pancake),"['1½ cups uncooked white rice', '1½ cups fresh grated coconut', '1 tablespoon sugar', '1 teaspoon salt , or to taste', '2 tablespoons white rice , cooked', 'water for soaking rice, and 2 to 2½ cups for grinding', '½ teaspoon yeast or kefir , to start the ferment (optional)']",https://en.wikibooks.org/wiki/Special:FilePath/Appam_served_with_Coconut_Milk_in_Tamil_Nadu.JPG?width=1000
22,Cookbook:Apple Crisp I,"['6 cups sliced and cored baking apples (for example, Granny Smith)', '½ cup (100 g ) all-purpose flour', '½ cup (100 g) rolled oats', '¾ teaspoon (3 g) cinnamon', '⅓ cup (75 g) cold butter or cold margarine', '⅔–¾ cup (120–150 g) brown sugar']",https://en.wikibooks.org/wiki/Special:FilePath/Apple-crisp.jpg?width=1000
23,Cookbook:Apple Pie I,"['8 oz (225 g ) plain flour', '4 oz (110 g) margarine', '2 oz (55 g) lard', '1 pinch salt', '2 tbsp cold water', '1 lb (500 g) apples , sliced', '2 tbsp lemon juice', '1 oz (28 g) salted butter', '2½ cup sugar , and additional for sprinkling', '¼ cup flour', '2½ tbsp cornstarch', 'Cinnamon', 'Nutmeg', '1 oz (28 g) milk', 'Cinnamon', 'Sugar']",https://en.wikibooks.org/wiki/Special:FilePath/Apple_pie.jpg?width=1000
24,Cookbook:Apple Strudel,"['Dough', 'Wheat flour', 'Lukewarm water (near ""hot"" is better than near ""cold"")', 'Oil', 'Salt', 'Filling', 'Apples , peeled and sliced', 'Butter', 'Breadcrumbs , toasted', 'Sugar', 'Cinnamon', 'Raisins', 'Nuts (optional)', 'Butter, melted', 'Powdered sugar']",https://en.wikibooks.org/wiki/Special:FilePath/Aufgeschnittener_Strudel.jpg?width=1000
25,Cookbook:Arancini (Italian Fried Rice Balls),"['1 lb of arborio rice (this is the type of rice used to make risotto )', '4 oz of fresh mozzarella , grated', '¼ cup of grated Parmesan cheese', 'Ground black pepper', '4 oz of ham , chopped', '1 tablespoon of butter , chopped', '1½ cups of breadcrumbs', '1 cup of all-purpose flour', '2 eggs', 'A little olive oil', 'Vegetable oil for frying', '2 cups of your favorite marinara sauce']",https://en.wikibooks.org/wiki/Special:FilePath/Arancini_002.jpg?width=1000
26,Cookbook:Arroz con Pollo (Rice and Chicken),"['1 ea . (1.3–1.8 kg ) chicken , cut into serving pieces', 'Salt to taste', 'Pepper to taste', 'Olive oil', '4 cloves of fresh garlic , minced', '1 medium onion , chopped', '225 g diced red bell pepper', '425 g (1 can ) diced tomatoes', '7.5 g (½ tablespoon ) sweet paprika', '14 g (½ oz) chopped cilantro', '1.4 liter (6 cups ) chicken stock', '8 saffron threads or 1 teaspoon food coloring for yellow rice', '370 g (2 cups) medium or long-grain rice', '225 g (8 oz ) canned peas ( thoroughly drained )']",https://en.wikibooks.org/wiki/Special:FilePath/Arroz-con-Pollo.jpg?width=1000
27,Cookbook:Arroz Negro (Valencian Squid Rice),"['3 pounds diced squid', '1 pounds green cubanelle peppers', '6 cloves garlic , minced', '2 cups Valencian rice', '3 teaspoons squid ink', '1 tablespoon sweet paprika', '1 tablespoon sea salt', 'Olive oil', '8 oz crab', '8 oz smelt or fish heads', '1 medium onion', '1 medium green or red bell pepper', '3 cloves of garlic', '2 bay leaves', '1 gallon of water']",https://en.wikibooks.org/wiki/Special:FilePath/Arroz_negro_02.JPG?width=1000
28,Cookbook:Ashoka Halwa (Mung Bean Pudding),"['1 cup split yellow moong dal', '3 cups water', '2 cups granulated sugar', '12 tablespoons ghee , divided', '4 tablespoons wheat flour', '¼ teaspoon cardamom powder', '3 tablespoons broken cashews', '1 pinch red food colouring in 1 teaspoon water']",https://en.wikibooks.org/wiki/Special:FilePath/AshokaHalwa.jpg?width=1000
29,Cookbook:Ashwe Soup,"['3 fresh chiles', '6 medium tomatoes', '1 medium onion , chopped', '1 cup fresh Ashwe leaves', '1 tablespoon Palm oil', '0.3 kg Beef', '1 teaspoon salt or to taste']",https://en.wikibooks.org/wiki/Special:FilePath/Ashwe_soup_%28Tiv_ethnic_soup_from_Nigeria%29.jpg?width=1000
30,Cookbook:Asian Grilled Duck Breasts,"['4 ea . (28–32 oz / 800–900 g ) boneless duck breasts', '1 tsp (5 ml ) salt', '1 tsp (5 ml) freshly ground black pepper', '1 tsp (5 ml) ground ginger', '½ tbsp (7.5 ml) red pepper flake', '1 star anise pod, ground', '2 tsp (10 ml) curry powder', '½ tsp (2.5 ml) freshly ground cinnamon', '1 tsp (5 ml) dried basil', '2 tsp (10 ml) garlic powder', '½ cup (120 ml) canned Mandarin orange wedges in syrup, drained', '1 tbsp (15 ml) soy sauce', '2 tbsp (30 ml) honey', '1½ tbsp (22.5 ml) chile paste']",https://en.wikibooks.org/wiki/Special:FilePath/Duck_breast_meat_french.JPG?width=1000
31,Cookbook:Asian-Inspired Chicken Salad,"['1½ cups broccoli flowerets', '½ cup pea pods', '6 cups torn mixed greens', '2 cups thinly- sliced Nappa cabbage', '½ cup julienned carrots', '1 package (6 oz ) grilled chicken breast, cut in strips', '¾ cups salad dressing (teriyaki ginger , Asian sesame with ginger, or balsamic vinaigrette)', '1 mango , peeled, seeded, and thinly sliced (optional)', 'Sesame crackers (optional)']",https://en.wikibooks.org/wiki/Special:FilePath/Asian_Chicken_Salad_with_Cashews.jpg?width=1000
32,Cookbook:Asida bil Zibda (Libyan Semolina Pudding),"['1 cup butter , softened', '2 cups semolina', '1 cup granulated sugar', '1 teaspoon ground cardamom', '1 cup milk', 'Ground cinnamon , for garnish (optional)', 'Chopped nuts , for garnish (optional)']",https://en.wikibooks.org/wiki/Special:FilePath/Libyan_Asida.jpg?width=1000
33,Cookbook:Asondo (Nigerian Dried Sweet Potatoes),"['Sweet potatoes', 'Water']",https://en.wikibooks.org/wiki/Special:FilePath/Drying_sweet_potato.jpg?width=1000
34,Cookbook:Asun (Goat in Pepper Sauce),"['Goat meat, washed and cut into smaller pieces', 'Salt', 'Stock cube', '2 medium-sized onions', 'Fresh habanero pepper', 'Bell pepper , chopped', '1 onion, chopped']",https://en.wikibooks.org/wiki/Special:FilePath/Goat_meat_Asun.jpg?width=1000
35,Cookbook:Ata Ekuru (Ekuru Sauce),"['4 pieces tatase (red bell peppers )', '6 pieces rodo (scotch bonnet chiles )', '10 pieces shombo (fresh cayenne pepper )', '1 alubosa ( onion )', '400 ml palm oil', 'Seasoning cubes', 'Salt', 'Fish (optional)', 'Ground crayfish (optional)', 'Beef (optional)', 'Ponmo (optional)']",https://en.wikibooks.org/wiki/Special:FilePath/Pepper_sauce.jpg?width=1000
36,Cookbook:Atomic Fudge Cake,"['2 cups (470 ml ) white sugar', '1 ¾ cup (415 ml) flour', '1 ¾ cups (415 ml) baking cocoa powder', '1 ½ teaspoon (7 ml) baking soda', '1 ½ teaspoon (7 ml) baking powder', '1 teaspoon salt (5ml)', '2 eggs', '1 cup (235 ml) milk', '½ cup (120 ml) vegetable oil', '2 teaspoons (10 ml) vanilla extract', '1 cup (235 ml) boiling water', '⅛ cup (30 ml) cocoa', '7 oz (200 g ) dark chocolate', '⅛ cup (30 ml) boiling water', '1/16 cup (15 ml) powdered sugar', '⅔ cup (156 ml) whipping cream']",https://en.wikibooks.org/wiki/Special:FilePath/Atomicfudge1.JPG?width=1000
37,Cookbook:Au Jus Sandwich,"['3 tablespoons flour', '2–3 pounds (0.91–1.4 kg) roast or other cut of beef', '1 beef bouillon cube', '1 can (~2 cups / 16 oz / 470 ml ) beef consommé , bouillon cube equivalent, or additional roast beef', '1 can (~2 cups / 16 oz / 470 ml ) French onion soup', '1 cup (2 sticks / 250 g / 8.8 oz) butter', '1 can (16 oz / 470 ml) beer (optional)', 'Spices (e.g. salt, pepper) (optional)', '4 French/sandwich/hoagie rolls']",https://en.wikibooks.org/wiki/Special:FilePath/Roast_Beef_Dip_lunch.JPG?width=1000
38,Cookbook:Aubergine and Onion Vegetable Pie,"['250 g (1 cup ) flour', '100 g (0.4 cups) medium-soft butter (leave it out for a half-hour before making the crust)', '1 egg', 'Lukewarm water', '1 pinch of salt', '1–2 aubergines (eggplants)', '1–2 onions', '4 tomatoes', '150 g (0.6 cups) of mushrooms', 'Grated cheese', 'Milk', '1 egg yolk', 'Fresh cream']",https://en.wikibooks.org/wiki/Special:FilePath/Aubergine_onion_pie.jpg?width=1000
39,Cookbook:Austrian Napkin Dumpling (Serviettenknödel),"['8.8 oz (250 g ) stale French or Italian bread , cut into crouton-sized cubes', '2 eggs', '1¼ cups (300 ml ) milk (preferably whole milk)', '4 Tbsp (60 g) butter', '¼ cup (60 g) finely- chopped onion (1 medium-sized onion)', '2 tsp (1 large dash) salt', '½–1 bunch chopped broad-leaf parsley']",https://en.wikibooks.org/wiki/Special:FilePath/Serviettenknoedel_bread-log.jpg?width=1000
40,Cookbook:Avocado Coconut Smoothie,"['Ripened avocado', 'Spinach (optional)', 'Honey', 'Ice', 'Coconut milk']",https://en.wikibooks.org/wiki/Special:FilePath/Green_Smoothie.jpg?width=1000
41,Cookbook:Awaze Tibs (Spicy Ethiopian Meat Stir-Fry),"['2 tablespoons vegetable oil', '1.5 pounds beef or lamb , thinly sliced', '1 large onion , thinly sliced', '3 cloves of garlic , minced', '2 tablespoons berbere spice', '1 tablespoon tomato paste', '1 tablespoon paprika', '1 tablespoon cayenne pepper , or to taste', '1 tablespoon awaze sauce', '1 tablespoon soy sauce', '1 tablespoon vinegar', '1 teaspoon salt , or to taste', 'Fresh cilantro , chopped , for garnish']",https://en.wikibooks.org/wiki/Special:FilePath/Meat_stir-fry_dish_at_a_Tibetan_restaurant.jpg?width=1000
42,Cookbook:Awug,"['250 g rice flour', '250 g grated coconut', '½ tbsp granulated sugar', '½ tsp salt', '150 g palm sugar , thinly shaved']",https://en.wikibooks.org/wiki/Special:FilePath/Dodongkal_Makanan_Khas_Sunda.jpg?width=1000
43,Cookbook:Baba Ganoush,"['1 ea . (1 to 1½ pounds ) medium-large eggplant , any variety', '2 tablespoons raw tahini', 'Juice of 1 lime or lemon', '1 clove garlic , crushed', '3 tablespoons olive oil', '½ tsp salt', 'Paprika or cayenne pepper , as a garnish']",https://en.wikibooks.org/wiki/Special:FilePath/Baba_Ganoush_05of05_%288735238183%29.jpg?width=1000
44,Cookbook:Baguette,"['Active dry yeast (95–110°F / 35–43°C)', 'Very warm water (105–115°F)', 'Unbleached all-purpose flour', 'Salt', 'Cool water (75°F)', 'Total']",https://en.wikibooks.org/wiki/Special:FilePath/Baguette.png?width=1000
45,Cookbook:Baingan Bartha (South Indian Eggplant with Coconut and Chili) I,"['1 ea . (1 pound / 450 kg ) eggplant (aubergine)', '2–6 green chillies , as desired', '1 cup fresh ground coconut', '1 cup chopped fresh coriander leaves (cilantro)', '2 cups paneer or yoghurt (optional)', 'Salt to taste']",https://en.wikibooks.org/wiki/Special:FilePath/Baigan_%28_Brinjal_%29_Bharta.jpg?width=1000
46,Cookbook:Baked Potatoes,"['1 large baking potato', 'Cooking oil', 'Salt', 'Butter or sour cream (optional)']",https://en.wikibooks.org/wiki/Special:FilePath/Microwaved_potatoes.JPG?width=1000
47,Cookbook:Baked Ziti,"['1 lb (450 g ) ziti or other pasta', '1 ½ cups (360 ml ) marinara sauce', '1 lb (450 g) grated mozzarella', '½ lb (225 g) ricotta', '4 oz (110 g) grated Parmesan cheese', '1 egg , beaten', '3 tbsp basil , chopped fine', '2 tbsp oregano , chopped fine', '3 tbsp Italian parsley , chopped fine', '½ cup (120 ml ) bread crumbs', '1 pinch crushed red pepper flakes (optional)', 'Salt', 'Pepper']",https://en.wikibooks.org/wiki/Special:FilePath/Baked_Ziti.jpg?width=1000
48,Cookbook:Baklava I,"['1 pound (0.45 kg) phyllo dough', '4–5 cup walnuts , chopped coarsely', '½ cup white granulated sugar', '¼ tsp ground cloves', '1 tsp cinnamon', '¾ pound sweet butter', '2 ½ cups of water', '3 cups white granulated sugar', '3 tsp lemon juice', '1 tsp vanilla extract']",https://en.wikibooks.org/wiki/Special:FilePath/Baklava%28RobertK%29.jpg?width=1000
49,Cookbook:Banana Cake,"['2 cups all-purpose flour', '1½ teaspoons baking powder', '½ teaspoon baking soda', '½ teaspoon salt', '½ teaspoon ground cinnamon', '½ cup unsalted butter , softened', '1 cup granulated sugar', '2 standard eggs', '1 ½ teaspoons vanilla extract', '3 ripe bananas , mashed', '½ cup buttermilk']",https://en.wikibooks.org/wiki/Special:FilePath/Banana_and_chocolate_cake.jpg?width=1000
50,Cookbook:Banana Chip Muffins,"['1 ¾ cup (250 g / 8.8 oz ) all-purpose flour', '½ cup (110 g / 3.9 oz) granulated sugar', '1 tablespoon baking powder', '½ cup (40 g / 1.4 oz) semisweet chocolate chips', '1 egg', '¼ cup (60 ml / 2 fl oz) cooking oil', '¼ cup (60 ml / 2 oz) milk', '1 cup (250 g / 8.8 oz / 3 ea .) mashed ripe bananas']",https://en.wikibooks.org/wiki/Special:FilePath/Banana-Nut-Muffins-2005-Aug-24.jpg?width=1000
51,Cookbook:Banana Nut Muffins,"['2 eggs', '1 tbsp honey , molasses , or sugar', '1 cup milk (or soy milk )', '¼ cup vegetable oil', '2–3 bananas , mashed', '⅔ cups (160 ml ) white flour', '1⅓ cups (320 g ) whole wheat flour', '½ tsp salt', '2 tsp baking powder', '½ cups (120 ml) chopped nuts (such as walnuts )', 'Sugar to taste, if necessary']",https://en.wikibooks.org/wiki/Special:FilePath/Banana-Nut-Muffins-2005-Aug-24.jpg?width=1000
52,Cookbook:Banana Pudding,"['1 cup (240 ml ) milk', '1 cup + 2 Tablespoons (200 g + 25 g) granulated sugar', '2 teaspoons (10 g) butter', '¼ teaspoon salt', '1 teaspoon vanilla extract or vanilla sugar', '4 eggs , separated', '2 Tablespoons (15 g) cornstarch', '14–20 vanilla wafers or ladyfingers', '¼ cup (60 ml) lemon juice', '2 ripe bananas', '1 Tablespoon (10 g) shredded unsweetened coconut']",https://en.wikibooks.org/wiki/Special:FilePath/Banana_pudding%2C_homemade.jpg?width=1000
53,Cookbook:Banana Split I,"['1 banana', '1 scoop vanilla ice cream', '1 scoop strawberry ice cream', '1 scoop chocolate ice cream', 'Chocolate sauce', 'Whipped cream (optional)']",https://en.wikibooks.org/wiki/Special:FilePath/Bananasplit3015.JPG?width=1000
54,Cookbook:Banga Soup,"['4 cups palm nuts or 800 ml canned palm nut extract', '500 g assorted meat (beef, goat meat, tripe)', '1–2 pieces dried fish (washed and deboned)', '1 stock cube (Maggi or Knorr)', 'Salt to taste', '1 tablespoon ground crayfish', '1 small onion (chopped)', '1 teaspoon Banga spice mix (optional but traditional)', 'Scent leaves (or substitute with basil)', 'Water (as needed)']",https://en.wikibooks.org/wiki/Special:FilePath/Banga_Soup.jpg?width=1000
55,Cookbook:Bangers and Mash,"[""2–3 good British butcher's sausages per person"", '2 medium-to-large potatoes per person (Maris piper potatoes are good.)', 'A little vegetable oil', 'Some butter or margarine', 'A splash of milk']",https://en.wikibooks.org/wiki/Special:FilePath/Bangers_and_mash_1.jpg?width=1000
56,Cookbook:Banoffee Pie,"['9 oz (250 g / 16 ea.) gingernut (or digestive ) biscuits', '10 oz (275 g / 2¼ sticks) butter', '1 tin (400 g / 14 oz) sweetened condensed milk', '6 oz (175 g / ¾ cup) caster sugar', '¼ pint (150 ml / ⅔ cup) double cream', '2 bananas']",https://en.wikibooks.org/wiki/Special:FilePath/Banoffeepie.jpg?width=1000
57,Cookbook:Baozi (Steamed Yeasted Dumplings),"['Warm water (around body temperature–100°F or 38°C)', 'Active dry yeast [ note 2 ]', 'Granulated white sugar', 'White bread flour , plus extra for flouring hands, surfaces, etc.', 'Double-acting baking powder', 'Salt (optional)', 'Sesame oil', 'Filling, as desired (see notes)', 'Total']",https://en.wikibooks.org/wiki/Special:FilePath/Nangua_Baozi_%28chinese_dumplings%29.jpg?width=1000
58,Cookbook:Barbecue Chicken,"['2 each chicken thighs, legs, and breasts', '1 cup salt', '1 quart water', '½ cup dark brown sugar', '4 cloves garlic , minced', '2 tbsp finely grated lemon zest', '1 quart salt-free chicken broth', '1 cup tomato paste', '¼ cup honey', '¼ cup apple cider vinegar', '2 tbsp Worcestershire sauce', '2 tbsp paprika', '2 tbsp smoked paprika', '1 ½ tsp dried rosemary', '1 ½ tsp dried thyme', '1 ½ tbsp cayenne pepper', '½ tbsp coarsely-ground black pepper', '2 tbsp dark brown sugar']",https://en.wikibooks.org/wiki/Special:FilePath/Barbecue_chicken-03.jpg?width=1000
59,Cookbook:Barbecue Ribs,"['1 slab St. Louis pork spareribs', '5 tbsp Barbecue Rub', '½ cup apple cider vinegar', '½ cup tomato paste', '¼ cup blackstrap molasses', '¼ cup light molasses', '2 tbsp Worcestershire sauce', 'Large hickory chunks']",https://en.wikibooks.org/wiki/Special:FilePath/Ribs_barbecue.jpg?width=1000
60,Cookbook:Barbecue Sauce I,"['¼ cup (62.5 mL ) brown sugar', '1 tbsp (15 mL ) garlic powder', '1 tbsp (15 mL ) paprika powder', '2 tsp (10 mL ) salt', '1 heaping tsp (6.66 mL ) of ground coffee beans', '1 cup (250 mL ) ketchup', '½ cup (125 mL ) water', '3 tbsp (45 mL ) white vinegar', 'A shot of whiskey or ½ shot of cognac', 'A squeeze of lemon juice']",https://en.wikibooks.org/wiki/Special:FilePath/BBQ_Sauce_Cookbook.png?width=1000
61,Cookbook:Barbecue Wings,"['24 chicken wings, tips removed, cut in half at the joint', '1 ¼ cups barbecue sauce', '2 tbsp paprika', '2 tbsp lemon pepper', '1 tbsp salt', '1 tbsp black peppercorns , cracked', '1 ½ tbsp ground cayenne pepper (optional)', '1/2x3 hickory wood chips']",https://en.wikibooks.org/wiki/Special:FilePath/Barbecue-Chicken-Wings_13264-480x360_%284791356615%29.jpg?width=1000
62,Cookbook:Barbecued Spare Ribs,"['2 pounds (910 g ) pork spare ribs', '¼ cup (60 ml / 2 oz ) soy sauce', '2 tablespoons honey', '2 tablespoons hoisin sauce', '2 tablespoons white vinegar', '1 tablespoon sake', '2 cloves garlic , minced', '1 teaspoon sugar', '¼ teaspoon of freshly ground white pepper', '2 tablespoons pork stock', 'Freshly-ground black pepper and salt to taste', '2 teaspoons cumin (optional)']",https://en.wikibooks.org/wiki/Special:FilePath/Spare_ribs_with_Chinese_barbecue_sauce_cropped.jpg?width=1000
63,Cookbook:Basbousa (Egyptian Semolina Cake),"['1 cup fine semolina', '½ cup desiccated coconut', '½ cup unsalted butter , melted', '¾ cup granulated sugar', '1 cup plain yogurt', '1 teaspoon baking powder', '½ teaspoon vanilla extract', 'Almonds or pistachios , chopped (for garnish)', '1 cup water', '1 cup granulated sugar', '1 tablespoon lemon juice']",https://en.wikibooks.org/wiki/Special:FilePath/Revane.jpg?width=1000
64,Cookbook:Basic French Macarons,"['125 g icing sugar', '125 g almond flour', '125 g white superfine sugar', '90 g (3 ea .) egg whites', 'Food coloring (concentrated variety)', 'Filling as desired (see notes)']",https://en.wikibooks.org/wiki/Special:FilePath/Macaron_love%2C_February_2011.jpg?width=1000
65,Cookbook:Basic Indian Tomato Gravy,"['5 tomatoes , diced large', '1 onion , diced small', '1 tablespoon ghee', '½ teaspoon ginger paste', '5 cloves garlic , pounded', '1 teaspoon chile powder', '½ teaspoon coriander powder', '½ teaspoon cumin powder', '¼ teaspoon turmeric powder', 'Salt to taste']",https://en.wikibooks.org/wiki/Special:FilePath/Tomato_Chutney.jpg?width=1000
